,Rainfall,Humidity,Tmax,Tmin,Tavg,Wind_dir,Cloud_amt,Area_threshold,max_wl,min_wl,avg_wl,station,date,Basin,Wind_dir_encoded,Flood
0,0.0,80.0,21.6,6.0,13.8,N,3.2315389881137593,12.05,5.04,5.04,5.04,Chuadanga,1990/1/1,Ganges,5,0
1,0.0,82.0,18.0,8.4,13.2,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/1,Ganges,15,0
2,0.0,84.0,21.0,6.0,13.5,N,0.9,18.5,10.28,10.28,10.28,Rajshahi,1990/1/1,Ganges,5,0
3,0.0,75.0,21.1,6.5,13.8,N,3.2315389881137593,12.05,5.06,5.06,5.06,Chuadanga,1990/1/2,Ganges,5,0
4,0.0,89.0,19.2,7.6,13.399999999999999,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/2,Ganges,15,0
5,0.0,85.0,21.3,7.5,14.4,N,0.0,18.5,10.28,10.28,10.28,Rajshahi,1990/1/2,Ganges,5,0
6,0.0,83.0,23.0,7.6,15.3,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/3,Ganges,5,0
7,0.0,88.0,16.6,8.8,12.700000000000001,W,1.9,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/3,Ganges,15,0
8,0.0,83.0,23.9,8.0,15.95,NW,0.0,18.5,10.29,10.29,10.29,Rajshahi,1990/1/3,Ganges,9,0
9,0.0,79.0,24.5,8.4,16.45,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/4,Ganges,5,0
10,0.0,91.0,22.0,7.5,14.75,W,1.2,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/4,Ganges,15,0
11,0.0,82.0,23.5,6.3,14.9,NW,0.0,18.5,10.33,10.33,10.33,Rajshahi,1990/1/4,Ganges,9,0
12,0.0,73.0,23.3,7.3,15.3,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/5,Ganges,5,0
13,0.0,83.0,23.5,7.2,15.35,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/5,Ganges,15,0
14,0.0,80.0,23.5,7.0,15.25,N,0.0,18.5,10.37,10.37,10.37,Rajshahi,1990/1/5,Ganges,5,0
15,0.0,74.0,24.0,8.1,16.05,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/6,Ganges,5,0
16,0.0,79.0,24.5,8.8,16.65,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/6,Ganges,15,0
17,0.0,75.0,24.5,7.1,15.8,NW,0.0,18.5,10.37,10.37,10.37,Rajshahi,1990/1/6,Ganges,9,0
18,0.0,75.0,25.0,8.4,16.7,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/7,Ganges,5,0
19,0.0,76.0,29.1,9.0,19.05,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/7,Ganges,15,0
20,0.0,77.0,23.8,6.8,15.3,W,0.0,18.5,10.33,10.33,10.33,Rajshahi,1990/1/7,Ganges,15,0
21,0.0,71.0,24.9,9.0,16.95,N,3.2315389881137593,12.05,5.07,5.07,5.07,Chuadanga,1990/1/8,Ganges,5,0
22,0.0,90.0,23.0,8.0,15.5,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/8,Ganges,15,0
23,0.0,80.0,24.8,7.1,15.95,W,0.0,18.5,10.32,10.32,10.32,Rajshahi,1990/1/8,Ganges,15,0
24,0.0,73.0,23.0,7.5,15.25,CLM,3.2315389881137593,12.05,5.08,5.08,5.08,Chuadanga,1990/1/9,Ganges,1,0
25,0.0,76.0,19.0,8.5,13.75,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/9,Ganges,15,0
26,0.0,78.0,21.9,7.0,14.45,NW,0.1,18.5,10.33,10.33,10.33,Rajshahi,1990/1/9,Ganges,9,0
27,0.0,71.0,21.5,7.5,14.5,N,3.2315389881137593,12.05,5.08,5.08,5.08,Chuadanga,1990/1/10,Ganges,5,0
28,0.0,79.0,20.3,9.4,14.850000000000001,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/10,Ganges,15,0
29,0.0,77.0,21.4,6.2,13.799999999999999,N,0.0,18.5,10.35,10.35,10.35,Rajshahi,1990/1/10,Ganges,5,0
30,0.0,80.0,23.0,7.0,15.0,N,3.2315389881137593,12.05,5.09,5.09,5.09,Chuadanga,1990/1/11,Ganges,5,0
31,0.0,88.0,24.0,7.9,15.95,W,0.7,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/11,Ganges,15,0
32,0.0,86.0,23.4,7.2,15.299999999999999,N,1.0,18.5,10.34,10.34,10.34,Rajshahi,1990/1/11,Ganges,5,0
33,0.0,79.0,25.0,10.0,17.5,N,3.2315389881137593,12.05,5.11,5.11,5.11,Chuadanga,1990/1/12,Ganges,5,0
34,0.0,80.0,23.0,9.3,16.15,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/12,Ganges,15,0
35,0.0,84.0,24.8,11.2,18.0,W,0.0,18.5,10.34,10.34,10.34,Rajshahi,1990/1/12,Ganges,15,0
36,0.0,79.0,22.5,9.2,15.85,N,3.2315389881137593,12.05,5.15,5.15,5.15,Chuadanga,1990/1/13,Ganges,5,0
37,0.0,81.0,21.0,9.4,15.2,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/13,Ganges,15,0
38,0.0,82.0,24.6,8.2,16.4,NW,0.0,18.5,10.27,10.27,10.27,Rajshahi,1990/1/13,Ganges,9,0
39,0.0,79.0,26.0,9.5,17.75,N,3.2315389881137593,12.05,5.17,5.17,5.17,Chuadanga,1990/1/14,Ganges,5,0
40,0.0,90.0,23.7,8.2,15.95,NW,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/14,Ganges,9,0
41,0.0,83.0,25.0,8.4,16.7,N,0.0,18.5,10.23,10.23,10.23,Rajshahi,1990/1/14,Ganges,5,0
42,0.0,78.0,25.6,10.5,18.05,N,3.2315389881137593,12.05,5.18,5.18,5.18,Chuadanga,1990/1/15,Ganges,5,0
43,0.0,81.0,25.2,9.7,17.45,NW,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/15,Ganges,9,0
44,0.0,82.0,25.5,9.4,17.45,N,0.0,18.5,10.21,10.21,10.21,Rajshahi,1990/1/15,Ganges,5,0
45,0.0,78.0,25.3,10.3,17.8,N,3.2315389881137593,12.05,5.18,5.18,5.18,Chuadanga,1990/1/16,Ganges,5,0
46,0.0,80.0,23.8,12.5,18.15,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/16,Ganges,15,0
47,0.0,80.0,25.4,10.6,18.0,NNW,0.0,18.5,10.18,10.18,10.18,Rajshahi,1990/1/16,Ganges,8,0
48,0.0,77.0,27.0,11.0,19.0,CLM,3.2315389881137593,12.05,5.18,5.18,5.18,Chuadanga,1990/1/17,Ganges,1,0
49,0.0,84.0,24.8,11.4,18.1,W,0.0,33.5,13.738536615652066,13.712595535963741,13.725651755502437,Dinajpur,1990/1/17,Ganges,15,0
